case_id,title,problem,solution,tags
C-026,Cable tray overfill (Basement),Additional cables installed and tray fill appears above recommended capacity. Overheating risk. Inspection was requested by QA prior to handover.,"Checked tray fill and derating. Corrective: add parallel tray or reroute, verify separation and ampacity. Prevent: change request process and updated cable schedule. Recorded actions in the NCR log and obtained consultant sign-off.","mep,electrical"
C-027,HVAC low airflow complaint (Basement),Occupants reported weak airflow. Commissioning readings showed low CFM on multiple branches. Inspection was requested by QA prior to handover.,"Checked damper positions, duct leakage, filters, fan VFD settings, and balancing report. Root cause: dampers mis-set and filters clogged from early operation. Corrective: clean/replace filters, set VFD, seal leaks, re-balance. Prevent: staged commissioning and protection during finishing works. Recorded actions in the NCR log and obtained consultant sign-off.","mep,hvac"
C-028,Late material approval delay (Tower A),"Critical material submittal approval delayed, impacting programme and handover. Discovered during closing inspection.","Escalated through tracker, proposed equivalent alternates, and resequenced works. Prevent: earlier procurement plan and weekly approval reviews with defined turnaround. Captured before/after photos and updated as-built notes.","contracts,claims"
C-029,Frequent MCB tripping (Area B),A DB circuit tripped repeatedly under normal load. Risk of overheating or faulty wiring. Problem noted after a weather event.,"Isolated loads, measured current, tested insulation resistance, verified breaker rating. Root cause: loose neutral causing heating and nuisance trips. Corrective: re-terminate to proper torque, replace damaged breaker, re-test. Prevent: torque marking and thermal imaging spot checks. Added an extra hold point to prevent recurrence.","mep,electrical"
C-030,Early-age slab cracking (Basement),Hairline cracks appeared on a newly cast slab within 24–48 hours. Ambient temperature was high and curing was inconsistent. Concern about durability and client acceptance. Issue appeared during routine testing.,"Verified crack pattern and depth (visual + crack gauge). Checked mix tickets and site water addition. Root cause: plastic shrinkage from rapid evaporation and delayed curing. Immediate: start continuous curing (wet hessian + curing compound), shade area, restrict traffic. Prevent: schedule pours in cooler hours, windbreaks, strict slump control and no re-tempering. Updated the method statement and briefed the crew.","concrete,qa"
C-031,Drain pipe slope issue,"Drainage line slope is less than required, causing slow drainage and blockage risk. Problem noted after a weather event.","Surveyed invert levels, corrected hangers and re-laid section to achieve slope, performed flow test. Prevent: laser level verification and pre-close inspection. Recorded actions in the NCR log and obtained consultant sign-off.","mep,plumbing"
C-032,Basement wall leakage (Tower A),Seepage noted through a basement wall joint after rain. Risk of dampness and client complaint. Client raised a concern during site walk.,"Mapped leakage path and joint detail. Root cause: membrane discontinuity at construction joint. Corrective: expose joint, PU injection, reinstate membrane with correct overlap/termination, add waterstop where applicable. Prevent: joint detailing checklist and photo records before backfill. Updated the method statement and briefed the crew.","waterproofing,facade"
C-033,Scaffold guardrail missing (Basement),HSE inspection found missing guardrails/toe boards on scaffold platform. Fall risk immediate. Problem noted after a weather event.,"Stopped work, installed guardrails/toeboards, re-inspected and re-tagged scaffold. Root cause: scaffold altered after inspection. Prevent: daily checks and controls against unauthorized changes. Recorded actions in the NCR log and obtained consultant sign-off.","safety,hse"
C-034,Weld defects in NDT report (Basement),UT report indicated lack of fusion and porosity in welds. Structural integrity and acceptance criteria impacted. Problem noted after a weather event.,"Marked defects and executed repair per WPS: grind out, clean, control preheat, re-weld by qualified welder, re-test UT. Prevent: WPS briefing, in-process inspection, and parameter control. Verified the fix through re-test and documented results.","steel,qa"
C-035,HVAC low airflow complaint (Phase 1),Occupants reported weak airflow. Commissioning readings showed low CFM on multiple branches. Problem noted after a weather event.,"Checked damper positions, duct leakage, filters, fan VFD settings, and balancing report. Root cause: dampers mis-set and filters clogged from early operation. Corrective: clean/replace filters, set VFD, seal leaks, re-balance. Prevent: staged commissioning and protection during finishing works. Verified the fix through re-test and documented results.","mep,hvac"
C-036,HVAC low airflow complaint (Area B),Occupants reported weak airflow. Commissioning readings showed low CFM on multiple branches. Problem noted after a weather event.,"Checked damper positions, duct leakage, filters, fan VFD settings, and balancing report. Root cause: dampers mis-set and filters clogged from early operation. Corrective: clean/replace filters, set VFD, seal leaks, re-balance. Prevent: staged commissioning and protection during finishing works. Added an extra hold point to prevent recurrence.","mep,hvac"
C-037,Hot work without permit (Basement),Hot work observed without valid permit-to-work. Fire and compliance risk. Client raised a concern during site walk.,"Stopped activity, issued permit, ensured fire watch and extinguishers, briefed crew. Prevent: daily PTW audits and supervisor accountability. Updated the method statement and briefed the crew.","safety,hse"
C-038,Rebar cover nonconformance (Phase 1),Cover meter inspection showed insufficient cover in localized areas before casting. Durability and corrosion risk flagged by QA. Client raised a concern during site walk.,"Stopped pour. Adjusted bars using approved spacers/chairs, re-tied reinforcement, re-checked cover readings. Verified formwork line/level. Prevent: spacer density checklist and mandatory pre-pour QA sign-off. Updated the method statement and briefed the crew.","concrete,qa"
C-039,Hot work without permit (Phase 1),Hot work observed without valid permit-to-work. Fire and compliance risk. Inspection was requested by QA prior to handover.,"Stopped activity, issued permit, ensured fire watch and extinguishers, briefed crew. Prevent: daily PTW audits and supervisor accountability. Captured before/after photos and updated as-built notes.","safety,hse"
C-040,Cable tray overfill (Phase 1),Additional cables installed and tray fill appears above recommended capacity. Overheating risk. Issue appeared during routine testing.,"Checked tray fill and derating. Corrective: add parallel tray or reroute, verify separation and ampacity. Prevent: change request process and updated cable schedule. Added an extra hold point to prevent recurrence.","mep,electrical"
C-041,Early-age slab cracking (Phase 1),Hairline cracks appeared on a newly cast slab within 24–48 hours. Ambient temperature was high and curing was inconsistent. Concern about durability and client acceptance. Problem noted after a weather event.,"Verified crack pattern and depth (visual + crack gauge). Checked mix tickets and site water addition. Root cause: plastic shrinkage from rapid evaporation and delayed curing. Immediate: start continuous curing (wet hessian + curing compound), shade area, restrict traffic. Prevent: schedule pours in cooler hours, windbreaks, strict slump control and no re-tempering. Verified the fix through re-test and documented results.","concrete,qa"
C-042,Backfill settlement in trench (Level 3),Surface settlement and ponding occurred over a recently backfilled trench. Risk to paving and services. Discovered during closing inspection.,"Reviewed compaction records and moisture content. Root cause: inadequate compaction lifts and high moisture. Corrective: re-excavate, compact in 200–300 mm lifts to specified density, retest. Prevent: moisture control and independent density testing. Added an extra hold point to prevent recurrence.","earthworks,geotech"
C-043,Steel connection bolt mismatch (Area B),Bolt holes did not align for a steel beam connection during erection. Erection delayed and misfit suspected. Discovered during closing inspection.,Held erection. Verified drawing revision and as-built dimensions. Corrected by reaming within tolerance and using approved bolt grade/washer plates; otherwise fabricate replacement splice plate. Prevent: fit-up check before dispatch and strict revision control. Verified the fix through re-test and documented results.,"steel,qa"
C-044,Weep holes blocked (Area B),"Retaining wall drainage weep holes were clogged by debris, increasing hydrostatic pressure risk. Inspection was requested by QA prior to handover.","Cleared weep holes, inspected filter media/geotextile and drainage layer continuity. Prevent: protection during backfill and inspection before final cover. Captured before/after photos and updated as-built notes.","earthworks,geotech"
C-045,Hot work without permit (Level 3),Hot work observed without valid permit-to-work. Fire and compliance risk. Problem noted after a weather event.,"Stopped activity, issued permit, ensured fire watch and extinguishers, briefed crew. Prevent: daily PTW audits and supervisor accountability. Captured before/after photos and updated as-built notes.","safety,hse"
C-046,Scaffold guardrail missing (Basement),HSE inspection found missing guardrails/toe boards on scaffold platform. Fall risk immediate. Inspection was requested by QA prior to handover.,"Stopped work, installed guardrails/toeboards, re-inspected and re-tagged scaffold. Root cause: scaffold altered after inspection. Prevent: daily checks and controls against unauthorized changes. Captured before/after photos and updated as-built notes.","safety,hse"
C-047,Weep holes blocked (Basement),"Retaining wall drainage weep holes were clogged by debris, increasing hydrostatic pressure risk. Inspection was requested by QA prior to handover.","Cleared weep holes, inspected filter media/geotextile and drainage layer continuity. Prevent: protection during backfill and inspection before final cover. Updated the method statement and briefed the crew.","earthworks,geotech"
C-048,Rebar cover nonconformance (Phase 1),Cover meter inspection showed insufficient cover in localized areas before casting. Durability and corrosion risk flagged by QA. Problem noted after a weather event.,"Stopped pour. Adjusted bars using approved spacers/chairs, re-tied reinforcement, re-checked cover readings. Verified formwork line/level. Prevent: spacer density checklist and mandatory pre-pour QA sign-off. Updated the method statement and briefed the crew.","concrete,qa"
C-049,Honeycombing after formwork removal (Tower A),Voids and honeycombing observed on a column face after stripping. Possible lack of compaction and segregation. Discovered during closing inspection.,"Assessed depth. If shallow: remove loose material, apply bonding agent, repair with approved mortar/micro-concrete and cure. If deep: engineer review (epoxy injection or recast). Prevent: trained vibrator operators, revised pour sequence, and suitable aggregate for congested zones. Recorded actions in the NCR log and obtained consultant sign-off.","concrete,qa"
C-050,Honeycombing after formwork removal,Voids and honeycombing observed on a column face after stripping. Possible lack of compaction and segregation. Discovered during closing inspection.,"Assessed depth. If shallow: remove loose material, apply bonding agent, repair with approved mortar/micro-concrete and cure. If deep: engineer review (epoxy injection or recast). Prevent: trained vibrator operators, revised pour sequence, and suitable aggregate for congested zones. Updated the method statement and briefed the crew.","concrete,qa"
